YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,CANCELLED,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,7,3,OO,5509,DFW,SFO,545,240,1464,745,0,0,34,61,N,20,0,49,86,CALM,0,0
2015,1,7,3,OO,5433,SBA,LAX,545,56,89,641,0,0,45,74,CALM,0,0,55,43,CALM,0,0
2015,1,7,3,EV,4951,AZO,DTW,546,69,113,655,0,0,36,97,SSW,8,0,8,64,WNW,12,0
2015,1,7,3,OO,4986,MLI,ORD,547,62,139,649,0,1,0,63,NW,15,0,0,60,NW,17,0
2015,1,7,3,OO,5211,DRO,DEN,547,74,251,701,0,0,23,88,NNE,7,0,14,92,E,7,0
2015,1,7,3,AA,1178,AUS,DFW,548,62,190,650,0,0,43,82,N,7,0,34,59,N,20,0
2015,1,7,3,HA,218,HNL,KOA,548,42,163,630,0,0,66,65,NNE,6,0,51,95,,0,0
2015,1,7,3,UA,1209,LAX,DEN,549,140,862,909,0,1,59,35,N,3,0,14,92,SE,5,0
2015,1,7,3,US,446,MCI,PHX,550,177,1044,747,0,0,9,56,N,20,0,49,64,SSW,3,0
2015,1,7,3,US,641,OMA,PHX,550,177,1037,747,0,0,3,60,N,22,0,49,64,SSW,3,0
2015,1,7,3,US,658,ATL,CLT,550,66,226,656,0,0,33,66,NW,14,0,29,78,CALM,0,0
2015,1,7,3,US,1737,IAH,PHX,550,176,1009,746,0,0,46,93,CALM,0,0,49,64,SSW,3,0
2015,1,7,3,US,1910,ORD,CLT,550,121,599,851,0,0,1,57,NW,25,0,36,52,WSW,3,0
2015,1,7,3,WN,4720,BNA,MCO,550,110,616,840,0,0,26,60,NNW,8,0,55,59,N,10,0
